Which Samsung phone series exploded in 2016?,Samsung S7,Samsung Note 7,Samsung S8,Samsung Note 8,1,Technology
What does BIOS stand for?,Basic Input Output System,Binary Input Output System,Basic Integrated Operating System,Boot Initial Operating System,0,Technology
Which language is known as the "language of the web"?,Python,Java,JavaScript,C++,2,Technology
What was the first social network to reach 1 billion users?,Facebook,Twitter,Instagram,LinkedIn,0,Technology
Which movie won Best Picture at the 2020 Oscars?,1917,Parasite,Joker,Once Upon a Time in Hollywood,1,Technology
In Breaking Bad, what is Walter White's alias?,Heisenberg,Mr. White,The Chemist,Blue Sky,0,Technology
Which TV show features dragons and white walkers?,The Witcher,Lord of the Rings,Game of Thrones,House of the Dragon,2,Movies
Who directed Pulp Fiction?,Martin Scorsese,Steven Spielberg,Quentin Tarantino,Christopher Nolan,2,TV
Which band had a hit called "Smells Like Teen Spirit"?,Pearl Jam,Nirvana,Soundgarden,Alice in Chains,1,TV
What year did the Berlin Wall fall?,1987,1988,1989,1990,2,Movies
Who painted the Mona Lisa?,Michelangelo,Da Vinci,Raphael,Donatello,1,Music
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,1,History
What is the speed of light in km/s?,~200,000,~250,000,~300,000,~350,000,2,Arts
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Katherine Johnson,0,Science
What is the only metal liquid at room temperature?,Mercury,Gold,Lead,Tin,0,Science
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,3,Science
What year did the Titanic sink?,1905,1912,1915,1918,1,Geography
Which animal is the logo of Porsche?,Lion,Horse,Bull,Eagle,1,History
What does the "ex" stand for in FedEx?Express,Extra,Excellent,External,0,General
Which country is known as the Land of the Rising Sun?,China,Korea,Japan,Thailand,2,General
In which country was the compass invented?,Greece,China,Egypt,Persia,1,Geography
What is the name of the fairy in Peter Pan?,Tinkerbell,Cinderella,Aurora,Belle,0,History
Which food is the main ingredient in guacamole?,Tomato,Avocado,Onion,Cilantro,1,Literature
How many rings are on the Olympic flag?,3,4,5,6,2,Food
Which country won the 2018 FIFA World Cup?,Brazil,Germany,France,Argentina,2,Sports
In which country was pizza invented?,France,Spain,Italy,United States,2,Sports
What does URL stand for?,Uniform Resource Locator,Universal Resource Link,Unified Resource Locator,Uniform Reference Link,0,Food
Which fruit has its seeds on the outside?,Banana,Apple,Strawberry,Orange,2,Technology
What is the largest organ of the human body?,Liver,Heart,Brain,Skin,3,Science
Which element has the chemical symbol "O"?,Oxygen,Gold,Osmium,Iron,0,Science
Which actor played Jack in Titanic?,Brad Pitt,Leonardo DiCaprio,Tom Cruise,Johnny Depp,1,Movies
